,value,metric,type
0,16.08621700369036,kde,best_of
1,2.056254809566035,kde,best_of
2,5.1122974815766655,kde,best_of
3,10.134613047501821,kde,best_of
4,18.009774420500005,kde,best_of
5,1.1904650738823348,kde,best_of
6,1.0590549176486803,kde,best_of
7,18.354252529493184,kde,best_of
8,-2.57108508642823,kde,best_of
9,-1.500934972758785,kde,best_of
10,0.7061557207616839,kde,best_of
11,-4.145627883957797,kde,best_of
12,-1.0357242382990974,kde,best_of
13,-0.36847798015191335,kde,best_of
14,-2.478176917983263,kde,best_of
15,-0.7092635889545107,kde,best_of
16,-0.7561609949974403,kde,best_of
17,-1.9626951029128152,kde,best_of
18,-0.4926539891768296,kde,best_of
19,-0.7693230042119613,kde,best_of
20,-2.0265121886945767,kde,best_of
21,-0.12132167847235459,kde,best_of
22,0.3315181478496774,kde,best_of
23,-2.796519258528025,kde,best_of
24,0.5665196127577118,kde,best_of
25,1.0263353982395287,kde,best_of
26,-3.4511834952927134,kde,best_of
27,1.5536460241177688,kde,best_of
28,1.4840592897539298,kde,best_of
29,-1.7355366385140794,kde,best_of
30,13.525323341249116,kde,best_of
31,-0.6494801531165315,kde,best_of
32,-2.180697658463382,kde,best_of
33,6.1177592760745485,kde,best_of
34,0.07511385998536686,kde,best_of
35,-2.0975119849730643,kde,best_of
36,5.046719372251236,kde,best_of
37,2.1105032866259243,kde,best_of
38,-2.697518129686855,kde,best_of
39,19.456253355751162,kde,best_of
40,3.2976020937781017,kde,best_of
41,-2.1086808268086665,kde,best_of
42,6.617367814186131,kde,best_of
43,3.707243808290218,kde,best_of
44,-2.7061117996513793,kde,best_of
45,6.593636559498235,kde,best_of
46,-2.158045263267787,kde,best_of
47,10.900497041506538,kde,best_of
48,-1.6187297852641767,kde,best_of
49,1.1776632645888558,kde,best_of
50,-1.827406952926974,kde,best_of
51,0.8166582992222621,kde,best_of
52,-1.0132737153851088,kde,best_of
53,1.6890172579762797,kde,best_of
54,-2.247293394112697,kde,best_of
55,8.174871902854056,kde,best_of
56,-2.709600264080502,kde,best_of
57,14.262982905114068,kde,best_of
58,-2.930433796533313,kde,best_of
59,4.34238900889004,kde,best_of
60,4.266514532121081,kde,best_of
61,-0.04608965999628234,kde,best_of
62,0.3069993900723408,kde,best_of
63,4.025943278921498,kde,best_of
64,13.063472932690793,kde,best_of
65,20.0,kde,best_of
66,0.6698177895579973,kde,best_of
67,1.015092418585465,kde,best_of
68,10.524945462708894,kde,best_of
69,10.16129056847558,kde,best_of
70,8.51044223431736,kde,best_of
71,8.25165685307935,kde,best_of
72,8.206250801106833,kde,best_of
73,20.0,kde,best_of
74,19.17959921654986,kde,best_of
75,1.3694903617703311,kde,best_of
76,1.2561341485279056,kde,best_of
77,2.24839540525083,kde,best_of
78,14.19700744539866,kde,best_of
79,13.850016053554043,kde,best_of
80,12.94311507048925,kde,best_of
81,20.0,kde,best_of
82,2.7087320714497,kde,best_of
83,13.26668775691235,kde,best_of
84,2.204396685718733,kde,best_of
85,5.740894040114471,kde,best_of
86,-1.1094085188629286,kde,best_of
87,-0.49673344107643536,kde,best_of
88,-0.46758600973489894,kde,best_of
89,-0.17575762051032232,kde,best_of
90,1.617438306511411,kde,best_of
91,0.6443825001368888,kde,best_of
92,1.3005871477009587,kde,best_of
93,5.169727829122699,kde,best_of
94,1.928342285077381,kde,best_of
95,4.9642552521703465,kde,best_of
96,2.603296666683815,kde,best_of
97,5.459766542979961,kde,best_of
98,11.472650716105814,kde,best_of
99,8.606876834569372,kde,best_of
100,14.683349028916528,kde,best_of
101,14.818227055192052,kde,best_of
102,1.3383441775718028,kde,best_of
103,5.793894081863501,kde,best_of
104,1.2585404749085836,kde,best_of
105,0.35407158860756754,kde,best_of
106,1.632160567173959,kde,best_of
107,2.6367144964540192,kde,best_of
108,1.0738108197326015,kde,best_of
109,5.24649854251012,kde,best_of
110,0.9987259020306519,kde,best_of
111,3.208380800474228,kde,best_of
112,0.7480892406478695,kde,best_of
113,2.389993326355961,kde,best_of
114,1.101577828849903,kde,best_of
115,0.9701027161969347,kde,best_of
116,1.1660375473064497,kde,best_of
117,0.6222996499007241,kde,best_of
118,2.817808588894368,kde,best_of
119,3.499572092615664,kde,best_of
120,5.982931616916841,kde,best_of
121,18.099024772040277,kde,best_of
122,6.890548151587448,kde,best_of
123,18.195877252674237,kde,best_of
124,8.171599108949984,kde,best_of
125,3.6233214062879746,kde,best_of
126,20.0,kde,best_of
127,1.6457076769725443,kde,best_of
128,1.9814405259339654,kde,best_of
129,1.4038647568803972,kde,best_of
130,15.936134674171146,kde,best_of
131,2.920550492004057,kde,best_of
132,12.371310523992332,kde,best_of
133,4.190524881716337,kde,best_of
134,4.4123125849182765,kde,best_of
135,0.10101673557355961,kde,best_of
136,0.7332314863907314,kde,best_of
137,0.9271472959744463,kde,best_of
138,0.2256904907693861,kde,best_of
139,1.0598619217414083,kde,best_of
140,-0.06642296724121852,kde,best_of
141,6.839742821373634,kde,best_of
142,0.8030784195753312,kde,best_of
143,5.60830057009245,kde,best_of
144,8.804061361285125,kde,best_of
145,-0.2089632084199636,kde,best_of
146,6.926853858941814,kde,best_of
147,18.09327139280546,kde,best_of
148,4.521116037129611,kde,best_of
149,0.2125695494815208,kde,best_of
150,6.042133821847655,kde,best_of
151,5.885683762520301,kde,best_of
152,0.8533309526884127,kde,best_of
153,0.627855350401862,kde,best_of
154,1.3116245429964895,kde,best_of
155,1.950642688774804,kde,best_of
156,-0.17662728862470467,kde,best_of
157,1.8022875230547006,kde,best_of
158,4.197752831308438,kde,best_of
159,6.01229993147917,kde,best_of
160,5.075555195005504,kde,best_of
161,3.5682801852400874,kde,best_of
162,7.111385232509079,kde,best_of
163,19.488714316567975,kde,best_of
164,3.1482954917939554,kde,best_of
165,13.464039865865004,kde,best_of
166,7.591196869905989,kde,best_of
167,5.429942387071558,kde,best_of
168,3.2221551381635014,kde,best_of
169,16.048862438070152,kde,best_of
170,1.4093574082619038,kde,best_of
171,5.156392687658743,kde,best_of
172,20.0,kde,best_of
173,1.2563946219962592,kde,best_of
174,1.3087795418366681,kde,best_of
175,2.2974252994970237,kde,best_of
176,0.5970041036323116,kde,best_of
177,3.666626433661386,kde,best_of
178,10.458509248461363,kde,best_of
179,8.860886716074914,kde,best_of
180,17.60626061524559,kde,best_of
181,2.731123786966429,kde,best_of
182,13.77961229329914,kde,best_of
183,3.151891683633711,kde,best_of
184,4.063646205998275,kde,best_of
185,-0.472937739181602,kde,best_of
186,-0.7487135912089131,kde,best_of
187,0.07711091277726928,kde,best_of
188,0.5267592818319246,kde,best_of
189,0.7251306044431483,kde,best_of
190,6.434006738539608,kde,best_of
191,3.070288213091485,kde,best_of
192,5.880396198096597,kde,best_of
193,11.884058667954877,kde,best_of
194,5.380098822459846,kde,best_of
