,value,metric,type
227,4.8944258950457415,ade,ml
228,3.020308753995286,ade,ml
229,5.353839446621138,ade,ml
230,2.8857732084205434,ade,ml
231,3.5139271057336092,ade,ml
232,0.8847200602129294,ade,ml
233,0.8217910048003348,ade,ml
234,1.1478007764812692,ade,ml
235,1.2055405898281741,ade,ml
236,1.7059085727102243,ade,ml
237,2.0837034321065104,ade,ml
238,2.2862967316642324,ade,ml
239,1.439547108171089,ade,ml
240,1.873907862116189,ade,ml
241,0.6161313460888445,ade,ml
242,0.9379653286316213,ade,ml
243,1.6231414965171964,ade,ml
244,1.7100908374854302,ade,ml
245,2.5167600034184727,ade,ml
246,2.5322109710004823,ade,ml
247,1.6549539214457665,ade,ml
248,1.43450340469941,ade,ml
249,0.5318887443407293,ade,ml
250,0.5265573239402316,ade,ml
251,0.38233229602987334,ade,ml
252,0.30967679923780406,ade,ml
253,0.6285329290004896,ade,ml
254,0.7057455928676237,ade,ml
255,0.4518044870678821,ade,ml
256,0.4054362636429582,ade,ml
257,1.167310268720179,ade,ml
258,0.38898889858959573,ade,ml
259,2.960240593890513,ade,ml
260,0.6382585786083167,ade,ml
261,1.2014969095419814,ade,ml
262,1.1086686868594517,ade,ml
263,1.1650803063558262,ade,ml
264,0.6403263702819407,ade,ml
265,1.200428180798568,ade,ml
266,0.3200362632956909,ade,ml
267,1.2551993523889455,ade,ml
268,1.1150161757700439,ade,ml
269,1.5853873997732715,ade,ml
270,0.3727611010917478,ade,ml
271,1.2753239397547416,ade,ml
272,2.04835498180263,ade,ml
273,0.3410966503374076,ade,ml
274,0.23089032986259972,ade,ml
275,1.171848060812306,ade,ml
276,0.5548088107876933,ade,ml
277,0.6484302489099316,ade,ml
278,0.47728691967035747,ade,ml
279,2.7308918531384556,ade,ml
280,0.7928601352197341,ade,ml
281,0.8328717319807639,ade,ml
282,0.9708659550436849,ade,ml
283,1.2492659585264263,ade,ml
284,0.933753912020357,ade,ml
285,1.7381829005330836,ade,ml
286,1.197168159027937,ade,ml
287,0.6928710123560311,ade,ml
288,0.8519220076438425,ade,ml
289,1.3046299849483642,ade,ml
290,1.8880402134734353,ade,ml
291,0.7944891973044318,ade,ml
292,0.6071705224051304,ade,ml
293,0.8803173867978918,ade,ml
294,1.0140742986072002,ade,ml
295,0.8870683092965285,ade,ml
296,1.6854014134539528,ade,ml
297,1.632164364471823,ade,ml
298,1.723736470186734,ade,ml
299,2.0767592574195737,ade,ml
300,2.198376547245632,ade,ml
301,2.0400638023386333,ade,ml
302,0.6981622479213704,ade,ml
303,0.41555392778831707,ade,ml
304,0.16599904677931307,ade,ml
305,0.3316227544917413,ade,ml
306,0.5234637772730228,ade,ml
307,1.7451328928581622,ade,ml
308,0.7786840120858521,ade,ml
309,1.0648617675624767,ade,ml
310,1.0498929689093381,ade,ml
311,1.4316028582727611,ade,ml
312,1.2187956827634177,ade,ml
313,0.7107379284366493,ade,ml
314,1.180764262665402,ade,ml
315,0.9353016212392272,ade,ml
316,1.7076378793167777,ade,ml
317,1.8882180418394399,ade,ml
318,1.2328449279229055,ade,ml
319,0.920692399849607,ade,ml
320,0.6215141257103599,ade,ml
321,0.6539944064382213,ade,ml
322,1.2361981393359995,ade,ml
323,1.487601868035642,ade,ml
324,0.6976955145164095,ade,ml
325,0.6149916778381489,ade,ml
326,1.3237828032486625,ade,ml
327,0.608749198391435,ade,ml
328,0.8459977393149107,ade,ml
329,1.5796259756270388,ade,ml
330,1.1210535116352969,ade,ml
331,1.6933409042965175,ade,ml
332,0.8620632582692115,ade,ml
333,1.9191353198417958,ade,ml
334,0.7806736341381345,ade,ml
335,0.5064988425872999,ade,ml
336,1.0651503602008845,ade,ml
337,0.34666300014440515,ade,ml
338,0.5482327163309685,ade,ml
339,0.5680886252141221,ade,ml
340,0.41188675553496923,ade,ml
341,0.6177306061163623,ade,ml
342,0.32195737323396595,ade,ml
343,0.29494952112668493,ade,ml
344,0.28366106484076387,ade,ml
345,0.2621068101463921,ade,ml
346,0.4709478550641757,ade,ml
347,0.21822586851598688,ade,ml
348,0.5631103476447678,ade,ml
349,0.5513678003748208,ade,ml
350,0.24849117951601407,ade,ml
351,0.28717305620865125,ade,ml
352,0.3424774434149526,ade,ml
353,0.6260246452784318,ade,ml
354,0.3228290865944876,ade,ml
355,0.1800452339416663,ade,ml
356,0.760859811340366,ade,ml
357,0.6963077180407126,ade,ml
358,0.39902126431550555,ade,ml
359,1.016720646939336,ade,ml
360,0.5563379759653209,ade,ml
361,0.3468908778317026,ade,ml
362,0.3436598648066287,ade,ml
363,0.5962343844377456,ade,ml
